county_fips,county_name,state_abbr,population,elec_res_mwh,elec_com_mwh,elec_ind_mwh,elec_total_mwh
37155,Robeson County,NC,134576,739558.182533763,451389.171432666,219088.07819137952,1410035.4321578084
37157,Rockingham County,NC,91898,514461.74350681104,736689.3418656649,777048.6920150506,2028199.7773875264
37159,Rowan County,NC,138694,745018.038523412,477825.339394662,420889.2994479731,1643732.677366047
37161,Rutherford County,NC,66701,392938.422350461,285038.230537154,148322.08430395563,826298.7371915707
37163,Sampson County,NC,63713,378680.502661748,258375.94150467898,121061.16613611055,758117.6103025376
37165,Scotland County,NC,35711,199794.939763062,163332.553491955,42780.97209139199,405908.46534640895
37167,Stanly County,NC,60610,376198.470265691,258974.33214077802,239393.12893733112,874565.9313438002
37169,Stokes County,NC,46453,277215.75000175,96287.83897266939,85092.40968269993,458595.99865711934
37171,Surry County,NC,72767,422679.490155869,325492.059683554,184889.08467234712,933060.6345117702
37173,Swain County,NC,14234,70033.87172741459,99068.5513126958,34181.75778781134,203284.18082792172
37175,Transylvania County,NC,33062,170250.82997358398,117790.444311261,140269.27789000553,428310.5521748505
37177,Tyrrell County,NC,4128,21048.3680533568,11712.567621369399,1310.7923174717819,34071.72799219798
37179,Union County,NC,217614,1136706.8102511798,632161.5233924721,407873.87199936865,2176742.2056430206
37181,Vance County,NC,44508,230277.071217188,165439.303777085,107340.38582557415,503056.7608198472
37183,Wake County,NC,998576,4342903.87099946,5193406.14186749,438018.4008559091,9974328.413722858
37185,Warren County,NC,20324,116800.742139076,53557.6301976081,21755.275520564326,192113.6478572484
37187,Washington County,NC,12503,74626.09269280989,41864.4232527564,227258.72024617807,343749.23619174433
37189,Watauga County,NC,52745,202593.53371069802,178381.847315077,66863.74222532823,447839.1232511032
37191,Wayne County,NC,124447,695695.848129953,433670.90957696596,327432.90703214594,1456799.6647390649
37193,Wilkes County,NC,68888,399301.39775416796,245480.918993359,385501.80043113197,1030284.117178659
37195,Wilson County,NC,81617,550890.955712191,451823.27079931996,934083.0183786588,1936797.2448901697
37197,Yadkin County,NC,37819,231125.177972334,97677.1236497407,435878.4235710886,764680.7251931633
37199,Yancey County,NC,17599,86329.8674803243,28858.112471887303,70081.11698849988,185269.0969407115
